S,t
1.7000000000000002,10792.0
1.6500000000000001,11715.0
1.9500000000000004,10815.0
1.4,22460.0
1.6,10543.0
1.5,15909.0
1.45,10557.0
1.4,10546.0
1.55,11803.0
1.8500000000000003,10542.0
1.55,10983.0
1.4,16224.0
1.9000000000000004,10261.0
1.7000000000000002,11102.0
1.4,16038.0
1.8500000000000003,10105.0
1.55,11145.0
1.9000000000000004,10237.0
1.45,13237.0
1.9000000000000004,12869.0
1.6,14055.0
1.8000000000000003,10670.0
1.45,12455.0
1.7000000000000002,13197.0
1.7500000000000002,10138.0
1.8000000000000003,10304.0
1.8000000000000003,10407.0
1.7000000000000002,12120.0
1.55,10692.0
1.55,11511.0
1.4,16928.0
1.45,10200.0
1.9000000000000004,10276.0
1.55,10011.0
1.8000000000000003,10055.0
1.8500000000000003,11033.0
1.7500000000000002,10533.0
1.6,10921.0
1.45,21347.0
2.0000000000000004,10119.0
1.9000000000000004,10794.0
1.55,10083.0
1.5,12664.0
2.0000000000000004,10793.0
1.9500000000000004,11123.0
1.6,10343.0
1.9500000000000004,10662.0
2.0000000000000004,10281.0
1.9500000000000004,12097.0
2.0000000000000004,10183.0
2.0000000000000004,10089.0
1.8500000000000003,10703.0
1.7500000000000002,10040.0
1.7500000000000002,12008.0
1.55,10435.0
1.4,12871.0
1.6500000000000001,11519.0
1.5,11877.0
1.45,11304.0
1.55,12080.0
1.55,12019.0
1.7500000000000002,10430.0
1.55,24342.0
1.55,10078.0
1.55,10473.0
1.5,13818.0
1.9000000000000004,11636.0
1.5,12963.0
1.9500000000000004,10058.0
1.45,16184.0
1.5,11063.0
1.8000000000000003,10613.0
1.6,12319.0
1.9000000000000004,10140.0
1.6,10637.0
2.0000000000000004,10351.0
1.6,11036.0
1.4,10515.0
1.9000000000000004,10733.0
1.55,16531.0
1.6500000000000001,11465.0
1.9500000000000004,10392.0
1.55,12144.0
1.6500000000000001,10489.0
1.55,13349.0
1.55,11723.0
1.45,10971.0
2.0000000000000004,10620.0
1.6,11285.0
1.5,10346.0
1.7000000000000002,10903.0
1.7000000000000002,10018.0
1.4,26001.0
1.6,11428.0
